17:48:25.910994 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 3574583819:3574586715, ack 2860355411, win 58, options [nop,nop,TS val 27836492 ecr 27836491], length 2896
17:48:26.635352 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 865904:868800, ack 1, win 58, options [nop,nop,TS val 27836673 ecr 27836672], length 2896
17:48:26.637775 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 868800:871696, ack 1, win 58, options [nop,nop,TS val 27836673 ecr 27836673], length 2896
17:48:26.640197 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 871696:874592, ack 1, win 58, options [nop,nop,TS val 27836674 ecr 27836673], length 2896
17:48:26.642620 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 874592:877488, ack 1, win 58, options [nop,nop,TS val 27836674 ecr 27836674], length 2896
17:48:26.645042 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 877488:880384, ack 1, win 58, options [nop,nop,TS val 27836675 ecr 27836674], length 2896
17:48:26.647464 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 880384:883280, ack 1, win 58, options [nop,nop,TS val 27836676 ecr 27836675], length 2896
17:48:26.649887 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 883280:886176, ack 1, win 58, options [nop,nop,TS val 27836676 ecr 27836676], length 2896
17:48:26.652309 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 886176:889072, ack 1, win 58, options [nop,nop,TS val 27836677 ecr 27836676], length 2896
17:48:26.654731 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 889072:891968, ack 1, win 58, options [nop,nop,TS val 27836677 ecr 27836677], length 2896
17:48:26.657154 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 891968:894864, ack 1, win 58, options [nop,nop,TS val 27836678 ecr 27836677], length 2896
17:48:26.659576 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 894864:897760, ack 1, win 58, options [nop,nop,TS val 27836679 ecr 27836678], length 2896
17:48:26.661999 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 897760:900656, ack 1, win 58, options [nop,nop,TS val 27836679 ecr 27836679], length 2896
17:48:26.664421 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 900656:903552, ack 1, win 58, options [nop,nop,TS val 27836680 ecr 27836679], length 2896
17:48:26.666844 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 903552:906448, ack 1, win 58, options [nop,nop,TS val 27836680 ecr 27836680], length 2896
17:48:26.669266 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 906448:909344, ack 1, win 58, options [nop,nop,TS val 27836681 ecr 27836680], length 2896
17:48:26.671688 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 909344:912240, ack 1, win 58, options [nop,nop,TS val 27836682 ecr 27836681], length 2896
17:48:26.674111 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 912240:915136, ack 1, win 58, options [nop,nop,TS val 27836682 ecr 27836682], length 2896
17:48:26.676533 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 915136:918032, ack 1, win 58, options [nop,nop,TS val 27836683 ecr 27836682], length 2896
17:48:26.678955 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 918032:920928, ack 1, win 58, options [nop,nop,TS val 27836684 ecr 27836683], length 2896
17:48:26.681378 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 920928:923824, ack 1, win 58, options [nop,nop,TS val 27836684 ecr 27836684], length 2896
17:48:26.683801 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 923824:926720, ack 1, win 58, options [nop,nop,TS val 27836685 ecr 27836684], length 2896
17:48:26.686223 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 926720:929616, ack 1, win 58, options [nop,nop,TS val 27836685 ecr 27836685], length 2896
17:48:26.688645 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 929616:932512, ack 1, win 58, options [nop,nop,TS val 27836686 ecr 27836685], length 2896
17:48:26.691067 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 932512:935408, ack 1, win 58, options [nop,nop,TS val 27836687 ecr 27836686], length 2896
17:48:26.693490 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 935408:938304, ack 1, win 58, options [nop,nop,TS val 27836687 ecr 27836687], length 2896
17:48:26.695912 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 938304:941200, ack 1, win 58, options [nop,nop,TS val 27836688 ecr 27836687], length 2896
17:48:26.698335 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 941200:944096, ack 1, win 58, options [nop,nop,TS val 27836688 ecr 27836688], length 2896
17:48:26.700757 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 944096:946992, ack 1, win 58, options [nop,nop,TS val 27836689 ecr 27836688], length 2896
17:48:26.703180 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 946992:949888, ack 1, win 58, options [nop,nop,TS val 27836690 ecr 27836689], length 2896
17:48:26.705602 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 949888:952784, ack 1, win 58, options [nop,nop,TS val 27836690 ecr 27836690], length 2896
17:48:26.708024 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 952784:955680, ack 1, win 58, options [nop,nop,TS val 27836691 ecr 27836690], length 2896
17:48:26.710447 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 955680:958576, ack 1, win 58, options [nop,nop,TS val 27836691 ecr 27836691], length 2896
17:48:26.712869 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 958576:961472, ack 1, win 58, options [nop,nop,TS val 27836692 ecr 27836691], length 2896
17:48:26.715292 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 961472:964368, ack 1, win 58, options [nop,nop,TS val 27836693 ecr 27836692], length 2896
17:48:26.717714 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 964368:967264, ack 1, win 58, options [nop,nop,TS val 27836693 ecr 27836693], length 2896
17:48:26.720137 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 967264:970160, ack 1, win 58, options [nop,nop,TS val 27836694 ecr 27836693], length 2896
17:48:26.722559 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 970160:973056, ack 1, win 58, options [nop,nop,TS val 27836694 ecr 27836694], length 2896
17:48:26.724981 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 973056:975952, ack 1, win 58, options [nop,nop,TS val 27836695 ecr 27836694], length 2896
17:48:26.727404 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 975952:978848, ack 1, win 58, options [nop,nop,TS val 27836696 ecr 27836695], length 2896
17:48:26.729826 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 978848:981744, ack 1, win 58, options [nop,nop,TS val 27836696 ecr 27836696], length 2896
17:48:26.732253 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 981744:984640, ack 1, win 58, options [nop,nop,TS val 27836697 ecr 27836696], length 2896
17:48:26.734674 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 984640:987536, ack 1, win 58, options [nop,nop,TS val 27836697 ecr 27836697], length 2896
17:48:26.737097 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 987536:990432, ack 1, win 58, options [nop,nop,TS val 27836698 ecr 27836697], length 2896
17:48:26.739519 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 990432:993328, ack 1, win 58, options [nop,nop,TS val 27836699 ecr 27836698], length 2896
17:48:26.741941 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 993328:996224, ack 1, win 58, options [nop,nop,TS val 27836699 ecr 27836699], length 2896
17:48:26.744361 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 996224:999120, ack 1, win 58, options [nop,nop,TS val 27836700 ecr 27836699], length 2896
17:48:26.746783 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 999120:1002016, ack 1, win 58, options [nop,nop,TS val 27836700 ecr 27836700], length 2896
17:48:26.749205 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1002016:1004912, ack 1, win 58, options [nop,nop,TS val 27836701 ecr 27836700], length 2896
17:48:26.751628 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1004912:1007808, ack 1, win 58, options [nop,nop,TS val 27836702 ecr 27836701], length 2896
17:48:26.754050 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1007808:1010704, ack 1, win 58, options [nop,nop,TS val 27836702 ecr 27836702], length 2896
17:48:26.756472 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1010704:1013600, ack 1, win 58, options [nop,nop,TS val 27836703 ecr 27836702], length 2896
17:48:26.758895 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1013600:1016496, ack 1, win 58, options [nop,nop,TS val 27836703 ecr 27836703], length 2896
17:48:26.761317 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1016496:1019392, ack 1, win 58, options [nop,nop,TS val 27836704 ecr 27836703], length 2896
17:48:26.763739 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1019392:1022288, ack 1, win 58, options [nop,nop,TS val 27836705 ecr 27836704], length 2896
17:48:26.766162 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1022288:1025184, ack 1, win 58, options [nop,nop,TS val 27836705 ecr 27836705], length 2896
17:48:26.768585 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1025184:1028080, ack 1, win 58, options [nop,nop,TS val 27836706 ecr 27836705], length 2896
17:48:26.771007 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1028080:1030976, ack 1, win 58, options [nop,nop,TS val 27836707 ecr 27836706], length 2896
17:48:26.773431 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1030976:1033872, ack 1, win 58, options [nop,nop,TS val 27836707 ecr 27836707], length 2896
17:48:26.775851 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1033872:1036768, ack 1, win 58, options [nop,nop,TS val 27836708 ecr 27836707], length 2896
17:48:26.778274 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1036768:1039664, ack 1, win 58, options [nop,nop,TS val 27836708 ecr 27836708], length 2896
17:48:26.780696 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1039664:1042560, ack 1, win 58, options [nop,nop,TS val 27836709 ecr 27836708], length 2896
17:48:26.783119 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1042560:1045456, ack 1, win 58, options [nop,nop,TS val 27836710 ecr 27836709], length 2896
17:48:26.785542 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1045456:1048352, ack 1, win 58, options [nop,nop,TS val 27836710 ecr 27836710], length 2896
17:48:26.787964 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1048352:1051248, ack 1, win 58, options [nop,nop,TS val 27836711 ecr 27836710], length 2896
17:48:26.790386 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1051248:1054144, ack 1, win 58, options [nop,nop,TS val 27836711 ecr 27836711], length 2896
17:48:26.792809 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1054144:1057040, ack 1, win 58, options [nop,nop,TS val 27836712 ecr 27836711], length 2896
17:48:26.795231 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1057040:1059936, ack 1, win 58, options [nop,nop,TS val 27836713 ecr 27836712], length 2896
17:48:26.797653 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1059936:1062832, ack 1, win 58, options [nop,nop,TS val 27836713 ecr 27836713], length 2896
17:48:26.800076 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1062832:1065728, ack 1, win 58, options [nop,nop,TS val 27836714 ecr 27836713], length 2896
17:48:26.802498 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1065728:1068624, ack 1, win 58, options [nop,nop,TS val 27836714 ecr 27836714], length 2896
17:48:26.804920 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1068624:1071520, ack 1, win 58, options [nop,nop,TS val 27836715 ecr 27836714], length 2896
17:48:26.807343 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1071520:1074416, ack 1, win 58, options [nop,nop,TS val 27836716 ecr 27836715], length 2896
17:48:26.809765 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1074416:1077312, ack 1, win 58, options [nop,nop,TS val 27836716 ecr 27836716], length 2896
17:48:26.812187 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1077312:1080208, ack 1, win 58, options [nop,nop,TS val 27836717 ecr 27836716], length 2896
17:48:26.814610 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1080208:1083104, ack 1, win 58, options [nop,nop,TS val 27836717 ecr 27836717], length 2896
17:48:26.817032 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1083104:1086000, ack 1, win 58, options [nop,nop,TS val 27836718 ecr 27836717], length 2896
17:48:26.819455 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1086000:1088896, ack 1, win 58, options [nop,nop,TS val 27836719 ecr 27836718], length 2896
17:48:26.821877 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1088896:1091792, ack 1, win 58, options [nop,nop,TS val 27836719 ecr 27836719], length 2896
17:48:26.824300 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1091792:1094688, ack 1, win 58, options [nop,nop,TS val 27836720 ecr 27836720], length 2896
17:48:26.826722 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1094688:1097584, ack 1, win 58, options [nop,nop,TS val 27836720 ecr 27836720], length 2896
17:48:26.829144 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1097584:1100480, ack 1, win 58, options [nop,nop,TS val 27836721 ecr 27836720], length 2896
17:48:26.831567 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1100480:1103376, ack 1, win 58, options [nop,nop,TS val 27836722 ecr 27836721], length 2896
17:48:26.833989 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1103376:1106272, ack 1, win 58, options [nop,nop,TS val 27836722 ecr 27836722], length 2896
17:48:26.836412 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1106272:1109168, ack 1, win 58, options [nop,nop,TS val 27836723 ecr 27836722], length 2896
17:48:26.838834 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1109168:1112064, ack 1, win 58, options [nop,nop,TS val 27836723 ecr 27836723], length 2896
17:48:26.841256 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1112064:1114960, ack 1, win 58, options [nop,nop,TS val 27836724 ecr 27836723], length 2896
17:48:26.843679 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1114960:1117856, ack 1, win 58, options [nop,nop,TS val 27836725 ecr 27836724], length 2896
17:48:26.846101 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1117856:1120752, ack 1, win 58, options [nop,nop,TS val 27836725 ecr 27836725], length 2896
17:48:26.848524 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1120752:1123648, ack 1, win 58, options [nop,nop,TS val 27836726 ecr 27836725], length 2896
17:48:26.850946 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1123648:1126544, ack 1, win 58, options [nop,nop,TS val 27836726 ecr 27836726], length 2896
17:48:26.853368 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1126544:1129440, ack 1, win 58, options [nop,nop,TS val 27836727 ecr 27836727], length 2896
17:48:26.855793 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1129440:1132336, ack 1, win 58, options [nop,nop,TS val 27836728 ecr 27836727], length 2896
17:48:26.858213 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1132336:1135232, ack 1, win 58, options [nop,nop,TS val 27836728 ecr 27836728], length 2896
17:48:26.860636 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1135232:1138128, ack 1, win 58, options [nop,nop,TS val 27836729 ecr 27836728], length 2896
17:48:26.863058 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1138128:1141024, ack 1, win 58, options [nop,nop,TS val 27836730 ecr 27836729], length 2896
17:48:26.865480 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1141024:1143920, ack 1, win 58, options [nop,nop,TS val 27836730 ecr 27836730], length 2896
17:48:26.867903 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1143920:1146816, ack 1, win 58, options [nop,nop,TS val 27836731 ecr 27836730], length 2896
17:48:26.870325 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1146816:1149712, ack 1, win 58, options [nop,nop,TS val 27836731 ecr 27836731], length 2896
17:48:26.872748 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 1149712:1152608, ack 1, win 58, options [nop,nop,TS val 27836732 ecr 27836731], length 2896
17:48:26.875171 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1152608:1155504, ack 1, win 58, options [nop,nop,TS val 27836733 ecr 27836732], length 2896
17:48:26.877592 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1155504:1158400, ack 1, win 58, options [nop,nop,TS val 27836733 ecr 27836733], length 2896
17:48:26.880015 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1158400:1161296, ack 1, win 58, options [nop,nop,TS val 27836734 ecr 27836733], length 2896
17:48:26.882438 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1161296:1164192, ack 1, win 58, options [nop,nop,TS val 27836734 ecr 27836734], length 2896
17:48:26.884859 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1164192:1167088, ack 1, win 58, options [nop,nop,TS val 27836735 ecr 27836734], length 2896
17:48:26.887282 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1167088:1169984, ack 1, win 58, options [nop,nop,TS val 27836736 ecr 27836735], length 2896
17:48:26.889704 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1169984:1172880, ack 1, win 58, options [nop,nop,TS val 27836736 ecr 27836736], length 2896
17:48:26.892127 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1172880:1175776, ack 1, win 58, options [nop,nop,TS val 27836737 ecr 27836736], length 2896
17:48:26.894549 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1175776:1178672, ack 1, win 58, options [nop,nop,TS val 27836737 ecr 27836737], length 2896
17:48:26.896971 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1178672:1181568, ack 1, win 58, options [nop,nop,TS val 27836738 ecr 27836737], length 2896
17:48:26.899394 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1181568:1184464, ack 1, win 58, options [nop,nop,TS val 27836739 ecr 27836738], length 2896
17:48:26.901816 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1184464:1187360, ack 1, win 58, options [nop,nop,TS val 27836739 ecr 27836739], length 2896
17:48:26.904239 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1187360:1190256, ack 1, win 58, options [nop,nop,TS val 27836740 ecr 27836739], length 2896
17:48:26.906661 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1190256:1193152, ack 1, win 58, options [nop,nop,TS val 27836740 ecr 27836740], length 2896
17:48:26.909083 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1193152:1196048, ack 1, win 58, options [nop,nop,TS val 27836741 ecr 27836740], length 2896
17:48:26.911506 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1196048:1198944, ack 1, win 58, options [nop,nop,TS val 27836742 ecr 27836741], length 2896
17:48:26.913928 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1198944:1201840, ack 1, win 58, options [nop,nop,TS val 27836742 ecr 27836742], length 2896
17:48:26.916351 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1201840:1204736, ack 1, win 58, options [nop,nop,TS val 27836743 ecr 27836742], length 2896
17:48:26.918773 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1204736:1207632, ack 1, win 58, options [nop,nop,TS val 27836743 ecr 27836743], length 2896
17:48:26.921199 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1207632:1210528, ack 1, win 58, options [nop,nop,TS val 27836744 ecr 27836743], length 2896
17:48:26.923623 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1210528:1213424, ack 1, win 58, options [nop,nop,TS val 27836745 ecr 27836744], length 2896
17:48:26.926042 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1213424:1216320, ack 1, win 58, options [nop,nop,TS val 27836745 ecr 27836745], length 2896
17:48:26.928733 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1216320:1219216, ack 1, win 58, options [nop,nop,TS val 27836746 ecr 27836745], length 2896
17:48:26.931425 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1219216:1222112, ack 1, win 58, options [nop,nop,TS val 27836746 ecr 27836746], length 2896
17:48:26.934115 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1222112:1225008, ack 1, win 58, options [nop,nop,TS val 27836747 ecr 27836746], length 2896
17:48:26.936806 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1225008:1227904, ack 1, win 58, options [nop,nop,TS val 27836748 ecr 27836747], length 2896
17:48:26.939498 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1227904:1230800, ack 1, win 58, options [nop,nop,TS val 27836748 ecr 27836748], length 2896
17:48:26.942190 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1230800:1233696, ack 1, win 58, options [nop,nop,TS val 27836749 ecr 27836748], length 2896
17:48:26.944881 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1233696:1236592, ack 1, win 58, options [nop,nop,TS val 27836750 ecr 27836749], length 2896
17:48:26.947573 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1236592:1239488, ack 1, win 58, options [nop,nop,TS val 27836750 ecr 27836750], length 2896
17:48:26.950265 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1239488:1242384, ack 1, win 58, options [nop,nop,TS val 27836751 ecr 27836750], length 2896
17:48:26.952956 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1242384:1245280, ack 1, win 58, options [nop,nop,TS val 27836751 ecr 27836751], length 2896
17:48:26.955650 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1245280:1248176, ack 1, win 58, options [nop,nop,TS val 27836752 ecr 27836751], length 2896
17:48:26.958340 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1248176:1251072, ack 1, win 58, options [nop,nop,TS val 27836753 ecr 27836752], length 2896
17:48:26.961030 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1251072:1253968, ack 1, win 58, options [nop,nop,TS val 27836753 ecr 27836753], length 2896
17:48:26.963722 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1253968:1256864, ack 1, win 58, options [nop,nop,TS val 27836754 ecr 27836753], length 2896
17:48:26.966414 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1256864:1259760, ack 1, win 58, options [nop,nop,TS val 27836754 ecr 27836754], length 2896
17:48:26.969106 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1259760:1262656, ack 1, win 58, options [nop,nop,TS val 27836755 ecr 27836754], length 2896
17:48:26.971797 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1262656:1265552, ack 1, win 58, options [nop,nop,TS val 27836756 ecr 27836755], length 2896
17:48:26.974488 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1265552:1268448, ack 1, win 58, options [nop,nop,TS val 27836756 ecr 27836756], length 2896
17:48:26.977180 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1268448:1271344, ack 1, win 58, options [nop,nop,TS val 27836757 ecr 27836756], length 2896
17:48:26.979871 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1271344:1274240, ack 1, win 58, options [nop,nop,TS val 27836757 ecr 27836757], length 2896
17:48:26.982563 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1274240:1277136, ack 1, win 58, options [nop,nop,TS val 27836758 ecr 27836757], length 2896
17:48:26.985255 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1277136:1280032, ack 1, win 58, options [nop,nop,TS val 27836759 ecr 27836758], length 2896
17:48:26.987946 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1280032:1282928, ack 1, win 58, options [nop,nop,TS val 27836759 ecr 27836759], length 2896
17:48:26.990638 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1282928:1285824, ack 1, win 58, options [nop,nop,TS val 27836760 ecr 27836759], length 2896
17:48:26.993332 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1285824:1288720, ack 1, win 58, options [nop,nop,TS val 27836760 ecr 27836760], length 2896
17:48:26.996021 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1288720:1291616, ack 1, win 58, options [nop,nop,TS val 27836761 ecr 27836760], length 2896
17:48:26.998712 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1291616:1294512, ack 1, win 58, options [nop,nop,TS val 27836762 ecr 27836761], length 2896
17:48:27.001407 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1294512:1297408, ack 1, win 58, options [nop,nop,TS val 27836762 ecr 27836762], length 2896
17:48:27.004096 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1297408:1300304, ack 1, win 58, options [nop,nop,TS val 27836763 ecr 27836762], length 2896
17:48:27.006787 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1300304:1303200, ack 1, win 58, options [nop,nop,TS val 27836763 ecr 27836763], length 2896
17:48:27.009479 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [.], seq 1303200:1306096, ack 1, win 58, options [nop,nop,TS val 27836764 ecr 27836763], length 2896
17:48:27.012170 IP 10.0.0.1.41848 > 10.0.0.2.5001: Flags [P.], seq 1306096:1308992, ack 1, win 58, options [nop,nop,TS val 27836765 ecr 27836764], length 2896
